x_value,total_1,total_2
0,1000,1000
1,998,1002
2,997,1003
3,1005,1006
4,999,1012
5,1005,1016
6,1003,1011
7,1008,1010
8,1007,1010
9,1006,1011
10,1014,1012
11,1016,1015
12,1018,1015
13,1019,1020
14,1027,1023
15,1022,1025
16,1022,1022
17,1018,1024
18,1014,1023
19,1011,1021
20,1019,1017
21,1015,1014
22,1011,1011
23,1015,1015
24,1023,1016
25,1025,1019
26,1024,1016
27,1028,1012
28,1026,1014
29,1026,1014
30,1032,1019
31,1033,1023
32,1037,1024
33,1032,1024
34,1028,1030
35,1033,1025
36,1037,1026
37,1035,1032
38,1033,1034
39,1030,1034
40,1037,1038
41,1041,1037
42,1035,1032
43,1033,1033
44,1035,1029
45,1031,1035
46,1033,1039
47,1028,1043
48,1024,1039
49,1030,1040
50,1024,1040
51,1027,1042
52,1022,1042
53,1016,1044
54,1017,1047
55,1011,1053
56,1017,1059
57,1015,1059
58,1018,1062
59,1018,1059
60,1012,1065
61,1016,1065
62,1022,1070
63,1024,1065
64,1026,1068
65,1028,1069
66,1027,1075
67,1023,1080
68,1027,1085
69,1031,1084
70,1037,1086
71,1038,1091
72,1046,1097
73,1048,1103
74,1055,1099
75,1059,1097
76,1060,1099
77,1059,1098
78,1062,1093
79,1057,1094
80,1060,1091
81,1064,1088
82,1062,1083
83,1068,1080
84,1073,1082
85,1072,1088
86,1066,1083
87,1068,1081
88,1067,1077
89,1063,1080
90,1057,1081
91,1056,1079
92,1058,1085
93,1058,1088
94,1062,1092
95,1063,1088
96,1065,1090
97,1071,1094
98,1076,1097
99,1077,1102
100,1082,1097
101,1078,1102
102,1078,1108
103,1083,1108
104,1090,1110
105,1087,1106
106,1095,1108
107,1095,1106
108,1090,1109
109,1094,1111
110,1091,1108
111,1093,1110
112,1096,1109
113,1093,1106
114,1100,1101
115,1107,1106
116,1109,1111
117,1103,1114
118,1108,1111
119,1105,1114
120,1102,1115
121,1104,1118
122,1103,1121
123,1106,1117
124,1103,1122
125,1107,1117
126,1102,1122
127,1098,1126
128,1103,1126
129,1108,1124
130,1104,1128
131,1106,1124
132,1114,1128
133,1121,1124
134,1121,1127
135,1125,1133
136,1126,1128
137,1129,1130
138,1131,1131
139,1138,1129
140,1138,1130
141,1146,1133
142,1148,1133
143,1147,1129
144,1152,1131
145,1150,1133
146,1155,1130
147,1161,1132
148,1157,1134
149,1155,1136
150,1161,1140
151,1159,1146
152,1157,1146
153,1159,1150
154,1165,1151
155,1170,1152
156,1165,1153
157,1164,1159
158,1163,1162
159,1166,1166
160,1173,1169
161,1167,1167
162,1175,1172
163,1170,1178
164,1175,1184
165,1169,1189
166,1172,1186
167,1176,1182
168,1178,1177
169,1179,1174
170,1173,1174
171,1180,1171
172,1177,1168
173,1184,1174
174,1184,1169
175,1184,1165
176,1182,1161
177,1178,1159
178,1174,1163
179,1174,1161
180,1173,1161
181,1176,1166
182,1172,1170
183,1175,1168
184,1170,1163
185,1166,1166
186,1172,1163
187,1177,1168
188,1185,1167
189,1185,1164
190,1190,1161
191,1188,1167
192,1182,1173
193,1184,1169
194,1189,1165
195,1196,1169
196,1192,1169
197,1193,1172
198,1189,1169
199,1197,1166
200,1201,1162
201,1200,1160
202,1194,1159
203,1196,1155
204,1193,1161
205,1190,1162
206,1196,1157
207,1190,1159
208,1186,1165
209,1181,1164
210,1182,1167
211,1180,1162
212,1181,1164
213,1189,1163
214,1186,1168
215,1182,1167
216,1182,1171
217,1183,1175
218,1182,1173
219,1190,1178
220,1198,1175
221,1196,1178
222,1195,1183
223,1199,1179
224,1198,1180
225,1193,1177
226,1188,1178
227,1189,1183
228,1185,1181
229,1187,1182
230,1189,1188
231,1194,1193
232,1192,1199
233,1195,1205
234,1202,1210
235,1200,1207
236,1203,1208
237,1209,1204
238,1212,1203
239,1213,1199
240,1213,1195
241,1215,1190
242,1217,1195
243,1213,1201
244,1220,1207
245,1217,1204
246,1222,1205
247,1228,1207
248,1225,1211
249,1231,1215
250,1230,1210
251,1228,1210
252,1223,1212
253,1219,1208
254,1213,1206
255,1213,1205
256,1211,1209
257,1213,1210
258,1217,1209
259,1218,1214
260,1215,1213
261,1213,1210
262,1210,1208
263,1211,1209
264,1215,1204
265,1216,1202
266,1211,1200
267,1219,1204
268,1219,1209
269,1226,1206
270,1223,1208
271,1228,1203
272,1230,1201
273,1235,1202
274,1241,1203
275,1241,1201
276,1249,1199
277,1255,1204
278,1253,1205
279,1253,1210
280,1249,1207
281,1257,1210
282,1258,1205
283,1260,1202
284,1263,1198
285,1270,1202
286,1274,1199
287,1282,1203
288,1284,1208
289,1291,1209
290,1291,1215
291,1294,1211
292,1295,1214
293,1292,1219
294,1286,1214
295,1289,1210
296,1283,1213
297,1278,1211
298,1275,1208
299,1281,1213
300,1278,1210
301,1286,1211
302,1287,1214
303,1290,1211
304,1294,1213
305,1301,1209
306,1304,1212
307,1309,1209
308,1303,1210
309,1311,1207
310,1309,1202
311,1304,1199
312,1303,1205
313,1302,1200
314,1303,1201
315,1302,1202
316,1309,1202
317,1316,1206
318,1310,1202
319,1307,1206
320,1310,1210
321,1306,1209
322,1311,1206
323,1312,1209
324,1315,1209
325,1310,1215
326,1309,1216
327,1307,1211
328,1315,1214
329,1311,1212
330,1308,1212
331,1308,1211
332,1312,1212
333,1306,1212
334,1308,1209
335,1304,1212
336,1303,1210
337,1310,1207
338,1309,1209
339,1315,1212
340,1313,1212
341,1316,1207
342,1312,1210
343,1320,1214
344,1326,1215
345,1323,1220
346,1323,1221
347,1319,1227
348,1324,1232
349,1330,1229
350,1335,1231
351,1340,1237
352,1347,1238
353,1354,1240
354,1352,1239
355,1357,1242
356,1363,1248
357,1359,1249
358,1353,1255
359,1361,1261
360,1356,1263
361,1352,1259
362,1351,1259
363,1356,1262
364,1352,1265
365,1352,1266
366,1347,1265
367,1354,1262
368,1355,1264
369,1350,1266
370,1349,1261
371,1357,1264
372,1352,1261
373,1357,1262
374,1355,1260
375,1349,1265
376,1357,1271
377,1360,1267
378,1366,1271
379,1365,1271
380,1371,1274
381,1370,1277
382,1368,1278
383,1363,1277
384,1363,1273
385,1358,1274
386,1362,1278
387,1362,1281
388,1365,1286
389,1360,1291
390,1362,1291
391,1368,1294
392,1362,1292
393,1367,1297
394,1361,1292
395,1361,1294
396,1355,1291
397,1363,1290
398,1362,1289
399,1363,1292
400,1371,1292
401,1379,1295
402,1387,1297
403,1394,1302
404,1396,1297
405,1396,1294
406,1400,1295
407,1402,1293
408,1398,1294
409,1401,1296
410,1400,1297
411,1404,1298
412,1407,1303
413,1409,1298
414,1411,1299
415,1409,1303
416,1414,1306
417,1413,1305
418,1417,1300
419,1416,1297
420,1418,1301
421,1424,1296
422,1428,1297
423,1431,1302
424,1430,1308
425,1437,1312
426,1445,1317
427,1444,1319
428,1449,1323
429,1454,1329
430,1459,1334
431,1464,1329
432,1458,1335
433,1466,1336
434,1470,1338
435,1475,1344
436,1480,1345
437,1481,1346
438,1484,1351
439,1486,1351
440,1483,1357
441,1484,1355
442,1490,1355
443,1486,1359
444,1480,1358
445,1487,1353
446,1490,1359
447,1496,1356
448,1494,1351
449,1501,1351
450,1505,1346
451,1512,1349
452,1509,1344
453,1513,1350
454,1521,1347
455,1526,1343
456,1521,1344
457,1526,1345
458,1528,1341
459,1532,1346
460,1540,1342
461,1541,1347
462,1543,1353
463,1547,1359
464,1542,1362
465,1536,1367
466,1538,1373
467,1538,1370
468,1533,1375
469,1532,1375
470,1539,1372
471,1544,1372
472,1543,1377
473,1537,1373
474,1542,1373
475,1548,1369
476,1553,1368
477,1557,1368
478,1551,1368
479,1555,1368
480,1560,1365
481,1563,1360
482,1563,1364
483,1566,1369
484,1568,1372
485,1566,1374
486,1563,1376
487,1559,1376
488,1556,1371
489,1560,1370
490,1555,1367
491,1555,1373
492,1556,1378
493,1557,1379
494,1560,1383
495,1556,1386
496,1558,1384
497,1552,1383
498,1559,1389
499,1555,1394
500,1553,1389
501,1554,1395
502,1557,1400
503,1555,1398
504,1559,1399
505,1567,1399
506,1569,1396
507,1570,1402
508,1569,1399
509,1569,1397
510,1574,1402
511,1580,1403
512,1578,1399
513,1578,1405
514,1582,1409
515,1585,1406
516,1590,1401
517,1586,1402
518,1581,1397
519,1589,1399
520,1595,1396
521,1596,1401
522,1602,1402
523,1602,1400
524,1597,1398
525,1592,1400
526,1586,1405
527,1592,1402
528,1599,1407
529,1604,1404
530,1601,1401
531,1602,1397
532,1602,1400
533,1608,1396
534,1609,1393
535,1616,1395
536,1619,1394
537,1626,1398
538,1626,1396
539,1631,1399
540,1632,1403
541,1633,1408
542,1636,1408
543,1633,1408
544,1631,1407
545,1639,1411
546,1639,1406
547,1636,1410
548,1633,1406
549,1637,1412
550,1641,1416
551,1637,1419
552,1636,1425
553,1630,1430
554,1636,1432
555,1638,1430
556,1642,1426
557,1649,1424
558,1647,1430
559,1641,1428
560,1647,1429
561,1646,1427
562,1640,1431
563,1636,1430
564,1631,1432
565,1634,1437
566,1635,1439
567,1639,1434
568,1634,1433
569,1639,1439
570,1642,1435
571,1643,1433
572,1649,1439
573,1653,1436
574,1649,1432
575,1651,1429
576,1657,1424
577,1652,1429
578,1648,1428
579,1652,1427
580,1658,1423
581,1654,1425
582,1662,1424
583,1665,1425
584,1659,1426
585,1665,1426
586,1671,1424
587,1670,1424
588,1671,1420
589,1671,1415
590,1666,1410
591,1666,1411
592,1673,1416
593,1671,1420
594,1676,1420
595,1677,1416
596,1674,1414
597,1681,1420
598,1681,1420
599,1686,1426
600,1688,1423
601,1693,1427
602,1695,1422
603,1694,1417
604,1695,1419
605,1690,1415
606,1694,1419
607,1696,1420
608,1696,1425
609,1700,1427
610,1708,1429
611,1707,1427
612,1711,1426
613,1712,1427
614,1713,1424
615,1711,1421
616,1714,1421
